Identifiant,Titre,Latitude,Longitude,Prix nuitee,Commune,Departement,Type de propriete,Id. type de logement,Type de logement,Capacite d'accueil,Nombre de salles de bain,Nombre de chambres,Nombre de lits,Type de lit,Cuisine,Internet,Television,Produits de base,Shampooing,Chauffage,Climatisation,Machine a laver,Seche-linge,Parking gratuit sur place,Internet sans fil,Television par cable,Petit dejeuner,Animaux acceptes,Pour familles/enfants,Adapte aux evenements,Logement fumeur,Acces handicapes,Ascenseur,Cheminee d'interieur,Interphone,Portier,Piscine,Jacuzzi,Salle de sport,Entree dans les lieux 24h/24,Cintres,Fer a repasser,Seche-cheveux,Espace de travail pour ordinateur,Detecteur de fumee,Detecteur de monoxyde,Kit de premiers secours,Fiche securite,Extincteur,Porte de la chambre avec verrou,Reduction a la semaine,Reduction au mois,Surcout par voyageur supplementaire,Frais de menage,Caution,Duree minimale du sejour,Animal sur place,Conditions d'annulation,Disponible
531846,<!-- react-text: 236 -->SUNNY STUDIO with HUGE terrasse <!-- /react-text -->,43.2879469484395,5.38046065806654,48,MARSEILLE,13,Appartement,3,Logement entier,2,1,0,1,Canape convertible,X,X,X,,,,,,,,X,X,,,X,,,X,X,,X,,,,,,X,X,,X,,,,,,,2,2,0,0,350,6,,,True
533026,<!-- react-text: 236 -->Marseille entre mer et  pinede<!-- /react-text -->,43.2438190024197,5.39329864157491,80,MARSEILLE,13,Appartement,3,Logement entier,3,1,2,2,,X,X,X,X,,X,,X,X,X,X,,,,X,,,X,X,,X,,,,,,,,,,,,,,,,0,0,0,20,450,3,,,True
534314,<!-- react-text: 193 -->MAISON DE CHARME TOP VUE MER !<!-- /react-text -->,43.285167895991,5.35527378047346,145,MARSEILLE,13,Maison,3,Logement entier,7,2,3,5,,X,X,X,X,,X,,X,X,X,X,X,,X,X,,,,,,X,,,,,,,,,,,,,,,,0,0,0,50,750,4,,,True
534937,T3 lumineux et  calme - La Plaine,43.2965072755197,5.38990618069041,45,MARSEILLE,13,Appartement,3,Logement entier,4,1,2,0,,X,,X,,,X,,X,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,5,15,0,30,0,6,,,False
540902,Chambre d'hote et de convivialite,43.2821417907173,5.36075325279768,90,MARSEILLE,13,Bed & Breakfast,2,Chambre privee,0,1,1,0,Vrai lit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,True
"544759,""250m DE LA PLAGE,,, vue Notredame"",43.2888360463248,5.35792064688265,64,MARSEILLE,13,Appartement,3,Logement entier,3,1,1,0,,X,X,,,,X,,X,,,X,,,,X,,,,X,,X,,,,,,,,,,,,,,,,1,0,0,30,150,3,,,False"
553473,<!-- react-text: 236 -->Le luxe au coeur de Marseille<!-- /react-text -->,43.2700141796144,5.38118397127594,100,MARSEILLE,13,Appartement,3,Logement entier,4,0,2,1,Vrai lit,X,X,X,,,X,X,X,X,X,X,X,,,,,,,X,,X,X,X,,,,X,,,,,,,,,,0,0,0,70,750,5,,,True
556128,Grand  T2  chambre avec piscine,43.3009998946415,5.42208390502739,49,MARSEILLE,13,Villa,3,Logement entier,4,15,1,0,,X,X,X,,,X,,X,X,X,X,X,,X,X,,,,,,,,X,,,X,X,,,X,X,X,X,X,X,,15,40,15,50,500,1,,,False
558460,<!-- react-text: 193 -->La Terrasse du General<!-- /react-text -->,43.2962293347062,5.37675234300318,80,MARSEILLE,13,Appartement,3,Logement entier,4,1,1,2,,X,X,X,X,,X,X,X,,,X,,,X,,,,,,,X,,,,,,X,X,X,X,X,,,,,,0,0,5,20,0,1,,,True
559437,belle chambre a l'etage,43.2353321806112,5.39962572704157,25,MARSEILLE,13,,2,Chambre privee,2,2,1,0,Vrai lit,X,,,X,,,,X,,X,X,,,X,,X,,,,,,,,X,,,X,,,X,X,,,,,,20,30,25,0,0,2,,,False
